,Time_Period,c_prop_cd,c_zone_id,c_serial_num,dof,coin_in,mtr_win,theo,hp,max_hp,days_in_time_period,slot_logistics,mtr_win over dof,coin_in over dof,mtr_win over hp,coin_in over hp
1099,Post,SAC,2,2174372,27,28638.75,2509.5,1907.34075,18338,237168.0,30,inplace,92.94444444444444,1060.6944444444443,0.1368469844039699,1.561716108626895
1147,Post,SAC,2,2174358,27,0.0,0.0,0.0,0,237168.0,30,inplace,0.0,0.0,,
1152,Post,SAC,2,2174167,27,61377.75,7608.75,3111.851925,34349,377135.999999999,30,inplace,281.80555555555554,2273.25,0.2215129989228216,1.7868860811086202
1176,Post,SAC,2,1964674,27,6833.5,1258.75,1024.34165,4392,295488.0,30,inplace,46.620370370370374,253.09259259259258,0.28660063752276865,1.5558970856102003
1314,Post,SAC,2,1965200,27,4629.36999999999,942.689999999999,690.239067,10267,318815.999999999,30,inplace,34.914444444444406,171.45814814814779,0.09181747345865385,0.45089802279146685
1358,Post,SAC,2,2174166,27,35031.0,3225.0,1772.56859999999,19501,377135.999999999,30,inplace,119.44444444444444,1297.4444444444443,0.16537613455720218,1.7963694169529767
1370,Post,SAC,2,1949577,27,6126.56,1576.32,888.3512,8384,307152.0,30,inplace,58.38222222222222,226.90962962962965,0.18801526717557251,0.7307442748091604
1392,Post,SAC,2,2174120,27,77515.0,3562.0,3914.5075,39000,377135.999999999,30,inplace,131.92592592592592,2870.925925925926,0.09133333333333334,1.9875641025641027
1411,Post,SAC,2,2174126,27,84487.5,8727.75,4351.10624999999,48097,377135.999999999,30,inplace,323.25,3129.1666666666665,0.18146142171029378,1.7566064411501756
1421,Post,SAC,2,2174124,27,42082.75,2668.5,2163.05334999999,27381,377135.999999999,30,inplace,98.83333333333333,1558.6203703703704,0.09745809137723238,1.53693254446514
1435,Post,SAC,2,2174130,27,30053.25,943.75,1514.6838,16700,377135.999999999,30,inplace,34.9537037037037,1113.0833333333333,0.05651197604790419,1.7995958083832335
1466,Post,SAC,2,1948962,27,4760.69,692.309999999999,698.393223,8442,287712.0,30,inplace,25.641111111111076,176.32185185185185,0.08200781805259406,0.563929163705283
1467,Post,SAC,2,2174393,27,0.0,0.0,0.0,0,237168.0,30,inplace,0.0,0.0,,
1508,Post,SAC,2,1965309,27,8130.05999999999,531.089999999999,1174.79367,13692,349920.0,30,inplace,19.669999999999963,301.113333333333,0.03878834355828214,0.5937817703768618
1549,Post,SAC,2,2174341,27,35343.0,1905.25,2367.981,21236,237168.0,30,inplace,70.56481481481481,1309.0,0.08971793181390092,1.6642964776794122
1560,Post,SAC,2,2174127,27,67338.25,7374.5,3434.25074999999,35686,377135.999999999,30,inplace,273.1296296296296,2494.009259259259,0.20664966653589642,1.8869654766575128
1579,Post,SAC,2,1949828,27,3443.18,184.28,498.572464,6557,252720.0,30,inplace,6.825185185185185,127.52518518518518,0.028104315998169895,0.525115144120787
1598,Post,SAC,2,2174373,27,0.0,0.0,0.0,0,237168.0,30,inplace,0.0,0.0,,
1612,Post,SAC,2,2174339,27,0.0,0.0,0.0,0,237168.0,30,inplace,0.0,0.0,,
1710,Post,SAC,2,2174367,27,31443.25,2203.25,2094.12045,19077,237168.0,30,inplace,81.60185185185185,1164.5648148148148,0.11549247785291189,1.6482282329506737
1719,Post,SAC,2,2174125,27,28781.75,3484.0,1462.1129,18606,377135.999999999,30,inplace,129.03703703703704,1065.9907407407406,0.1872514242717403,1.5469069117488983
1794,Post,SAC,2,2174399,27,36240.0,2354.25,2399.08799999999,22818,237168.0,30,inplace,87.19444444444444,1342.2222222222222,0.10317512490139363,1.5882198264528005
1806,Post,SAC,2,2174131,27,55169.5,5055.5,2769.5089,28829,377135.999999999,30,inplace,187.24074074074073,2043.3148148148148,0.1753616150404107,1.9136806687710293
1815,Post,SAC,2,2174413,27,0.0,0.0,0.0,0,237168.0,30,inplace,0.0,0.0,,
1845,Post,SAC,2,2174121,27,37026.25,1586.0,1892.041375,21330,377135.999999999,30,inplace,58.74074074074074,1371.3425925925926,0.0743553680262541,1.7358766994842945
1899,Post,SAC,2,1964676,27,6867.51999999999,1514.6,992.356639999999,7334,330480.0,30,inplace,56.096296296296295,254.35259259259223,0.2065175893100627,0.9363948731933448
1948,Post,SAC,2,2174128,27,19539.75,2304.5,992.6193,12640,377135.999999999,30,inplace,85.35185185185185,723.6944444444445,0.18231803797468354,1.5458662974683544
1983,Post,SAC,2,2174332,27,20859.0,2218.5,1378.7799,15892,237168.0,30,inplace,82.16666666666667,772.5555555555555,0.1395985401459854,1.3125471935565065
