,Time_Period,c_prop_cd,c_zone_id,c_serial_num,dof,coin_in,mtr_win,theo,hp,max_hp,days_in_time_period,slot_logistics,mtr_win over dof,coin_in over dof,mtr_win over hp,coin_in over hp
2,Pre,SAC,2,2174121,76,137409.75,13990.0,6903.38664999999,69677,1061567.99999999,76,inplace,184.078947368421,1808.0230263157891,0.2007836158273175,1.9720962440977652
3,Pre,SAC,2,2174399,76,20529.75,1456.0,1359.06945,18927,650304.0,76,inplace,19.157894736842106,270.1282894736842,0.07692714112114968,1.0846806149944523
58,Pre,SAC,2,2174131,76,129253.0,-941.5,6395.7106,80109,1061567.99999999,76,inplace,-12.38815789473684,1700.697368421053,-0.011752736895979228,1.6134641550886917
64,Pre,SAC,2,2174413,76,0.0,0.0,0.0,0,650304.0,76,inplace,0.0,0.0,,
79,Pre,SAC,2,2174339,76,0.0,0.0,0.0,0,650304.0,76,inplace,0.0,0.0,,
96,Pre,SAC,2,2174373,76,1.0,1.0,0.0594,1,650304.0,76,inplace,0.013157894736842105,0.013157894736842105,1.0,1.0
146,Pre,SAC,2,1949577,76,16257.29,3403.65999999999,2357.30704999999,23338,864576.0,76,inplace,44.78499999999987,213.9117105263158,0.14584197446224995,0.6966016796640673
194,Pre,SAC,2,2174166,76,104848.0,3950.75,5198.9918,58413,1061567.99999999,76,inplace,51.98355263157895,1379.578947368421,0.06763477308133463,1.794942906544776
210,Pre,SAC,2,2174125,76,79425.5,8062.25,3953.3813999999898,44743,1061567.99999999,76,inplace,106.08223684210527,1045.0723684210527,0.180190197349306,1.7751491853474286
348,Pre,SAC,2,2174367,76,25643.75,283.0,1707.87375,15938,650304.0,76,inplace,3.7236842105263164,337.41776315789474,0.017756305684527546,1.6089691303802234
402,Pre,SAC,2,1964676,76,30201.5,5669.99,4364.11675,27848,930240.0,76,inplace,74.60513157894736,397.38815789473676,0.20360492674518813,1.0845123527721918
409,Pre,SAC,2,1964674,76,17437.0,3836.55,2612.69089999999,13619,831744.0,76,inplace,50.48092105263158,229.43421052631575,0.2817057052647037,1.2803436375651662
504,Pre,SAC,2,1949572,76,47144.92,5948.489999999991,6814.71538999999,58589,787968.0,76,inplace,78.26960526315777,620.3278947368419,0.10152912662786512,0.8046718667326631
505,Pre,SAC,2,2174122,76,154704.25,8905.49999999999,7727.672575,92405,1061567.99999999,76,inplace,117.17763157894724,2035.5822368421047,0.0963746550511335,1.6741978247930307
506,Pre,SAC,2,2174123,76,141132.25,3875.25,7066.33237499999,69661,1061567.99999999,76,inplace,50.99013157894736,1857.0032894736842,0.055630123024360836,2.0259865635003798
583,Pre,SAC,2,1965200,76,16073.8899999999,2127.0499999999897,2395.6239689999898,26490,897407.9999999991,76,inplace,27.987499999999873,211.4985526315776,0.08029633824084523,0.6067908644771574
621,Pre,SAC,2,1949828,76,17904.67,2429.27,2592.596216,24432,711360.0,76,inplace,31.96407894736842,235.58776315789476,0.09942984610347086,0.7328368533071381
622,Pre,SAC,2,2174127,76,239980.5,17726.5,12069.56025,120549,1061567.99999999,76,inplace,233.24342105263162,3157.638157894737,0.1470480883292271,1.9907299106587364
623,Pre,SAC,2,2174341,76,28914.25,2845.75,1937.2547499999898,16543,650304.0,76,inplace,37.444078947368425,380.45065789473676,0.17202139877893974,1.7478238529891796
706,Pre,SAC,2,2174128,76,94308.0,11769.0,4726.055025,51933,1061567.99999999,76,inplace,154.85526315789474,1240.8947368421052,0.2266189128299925,1.8159551730113799
